Diametre;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
15;0,08;0,08;0,09;0,10;0,11;0,12;0,13;0,13;0,14;0,15;0,16;0,17;0,18;0,18;0,19;0,20;0,21;0,22;0,23;0,23
20;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,4;0,4;0,5;0,5
25;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,5;0,5;0,5;0,6;0,6;0,6;0,6;0,7;0,7;0,7;0,8;0,8
30;0,4;0,4;0,5;0,5;0,5;0,6;0,6;0,7;0,7;0,8;0,8;0,8;0,9;0,9;1,0;1,0;1,0;1,1;1,1;1,2
35;0,5;0,6;0,6;0,7;0,8;0,8;0,9;0,9;1,0;1,1;1,1;1,2;1,2;1,3;1,3;1,4;1,5;1,5;1,6;1,6
40;0,7;0,8;0,9;0,9;1,0;1,1;1,2;1,2;1,3;1,4;1,5;1,6;1,6;1,7;1,8;1,9;1,9;2,0;2,1;2,2
45;0,9;1,0;1,1;1,2;1,3;1,4;1,5;1,6;1,7;1,8;1,9;2,0;2,1;2,2;2,3;2,4;2,5;2,6;2,7;2,8
50;1,1;1,3;1,4;1,5;1,6;1,8;1,9;2,0;2,1;2,3;2,4;2,5;2,6;2,8;2,9;3,0;3,1;3,3;3,4;3,5
55;1,4;1,5;1,7;1,8;2,0;2,1;2,3;2,4;2,6;2,8;2,9;3,1;3,2;3,4;3,5;3,7;3,8;4,0;4,1;4,3
60;1,7;1,8;2,0;2,2;2,4;2,6;2,8;2,9;3,1;3,3;3,5;3,7;3,9;4,0;4,2;4,4;4,6;4,8;5,0;5,1
65;2,0;2,2;2,4;2,6;2,8;3,0;3,3;3,5;3,7;3,9;4,1;4,3;4,6;4,8;5,0;5,2;5,4;5,6;5,9;6,1
70;2,3;2,5;2,8;3,0;3,3;3,5;3,8;4,0;4,3;4,6;4,8;5,1;5,3;5,6;5,8;6,1;6,3;6,6;6,8;7,1
75;2,6;2,9;3,2;3,5;3,8;4,1;4,4;4,7;5,0;5,3;5,5;5,8;6,1;6,4;6,7;7,0;7,3;7,6;7,9;8,2
80;3,0;3,3;3,7;4,0;4,3;4,7;5,0;5,3;5,7;6,0;6,3;6,7;7,0;7,3;7,7;8,0;8,3;8,7;9,0;9,3
85;3,4;3,8;4,2;4,5;4,9;5,3;5,7;6,0;6,4;6,8;7,2;7,6;7,9;8,3;8,7;9,1;9,4;9,8;10,2;10,6
90;3,8;4,3;4,7;5,1;5,5;6,0;6,4;6,8;7,2;7,7;8,1;8,5;8,9;9,4;9,8;10,2;10,6;11,1;11,5;11,9
95;4,3;4,8;5,2;5,7;6,2;6,7;7,1;7,6;8,1;8,6;9,0;9,5;10,0;10,5;10,9;11,4;11,9;12,4;12,8;13,3
100;4,8;5,3;5,8;6,3;6,9;7,4;7,9;8,4;9,0;9,5;10,0;10,6;11,1;11,6;12,1;12,7;13,2;13,7;14,3;14,8
