#-----------------------------------------------------------------------------
# Date d'extraction : 09/09/2024 - 13h01 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : FEU_METEO2022
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORNSV23 : Sécheresse Feu Météo modérée (jour)
#     NORNSV24 : Sécheresse Feu Météo élevée (jour)
#     NORNSV25 : Sécheresse Feu Météo très élevée (jour)
#     NORIFM20 : Indicateur feux de forêt nbj sup à 20 (jour)
#     NORIFM40 : Indicateur feux de forêt nbj sup à 40 (jour)
#     NORIFM60 : Indicateur feux de forêt nbj sup à 60 (jour)
#     NORIFMxAV : IFMx moyen
#     NORIFMxq80 : Q80 IFMx
#     NORIEPx4 : Danger Feu Météo végétation morte Elevé (jour)
#     NORIEPx5 : Danger Feu Météo végétation morte Très Elevé (jour)
#     NORIFMx50 : Danger Feu Météo végétation vivante Elevé (jour)
#     NORIFMx80 : Danger Feu Météo végétation vivante Très Elevé (jour)
#     NORIS400 : Sécheresse profonde Feu Météo modérée (jour)
#     NORIS700 : Sécheresse profonde Feu Météo élevée (jour)
#     NORIS1000 : Sécheresse profonde Feu Météo très élevée (jour)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORNSV23;NORNSV24;NORNSV25;NORIFM20;NORIFM40;NORIFM60;NORIFMxAV;NORIFMxq80;NORIEPx4;NORIEPx5;NORIFMx50;NORIFMx80;NORIS400;NORIS700;NORIS1000;
#-----------------------------------------------------------------------------
12125;47.4999;7.171;RCP8.5;H1;5;1;0;7;1;0;2.93;4.85;25;3;0;0;11;1;0;
12126;47.4954;7.2769;RCP8.5;H1;6;2;0;7;1;0;2.5;3.73;23;2;0;0;6;1;0;
12127;47.4908;7.3829;RCP8.5;H1;4;1;0;6;1;0;2.83;4.55;24;3;0;0;10;1;0;
12128;47.4862;7.4888;RCP8.5;H1;6;2;0;7;1;0;2.78;4.44;24;2;0;0;10;1;0;
12250;47.6357;5.2647;RCP8.5;H1;10;1;0;15;2;0;3.86;6.47;32;6;1;0;18;0;0;
12251;47.6329;5.3711;RCP8.5;H1;11;1;0;15;2;0;4.05;6.76;38;8;1;0;15;0;0;
12268;47.5717;7.1775;RCP8.5;H1;7;2;0;9;1;0;3.14;5.31;27;3;0;0;15;1;0;
12269;47.5672;7.2836;RCP8.5;H1;7;2;0;8;1;0;3.09;5.12;27;3;0;0;13;1;0;
12270;47.5626;7.3897;RCP8.5;H1;7;2;0;8;1;0;2.97;4.85;26;3;0;0;12;1;0;
12271;47.558;7.4958;RCP8.5;H1;6;2;0;8;1;0;3.25;5.29;30;4;0;0;15;2;0;
12391;47.7127;5.0556;RCP8.5;H1;9;1;0;14;2;0;3.67;6.04;30;5;1;0;11;0;0;
12392;47.7102;5.1622;RCP8.5;H1;8;1;0;14;2;0;3.68;6.09;31;5;1;0;11;0;0;
12393;47.7076;5.2687;RCP8.5;H1;8;1;0;14;2;0;4.07;6.86;34;8;1;0;22;0;0;
12394;47.7048;5.3752;RCP8.5;H1;11;1;0;16;2;0;4.21;7.14;35;8;1;0;24;0;0;
12395;47.702;5.4817;RCP8.5;H1;11;1;0;17;3;0;3.94;6.69;33;7;1;0;19;0;0;
12396;47.6991;5.5882;RCP8.5;H1;11;1;0;15;2;0;3.89;6.62;33;6;1;0;17;0;0;
12410;47.6479;7.0778;RCP8.5;H1;7;2;0;10;1;0;3.71;6.44;32;4;1;0;21;2;0;
12411;47.6435;7.184;RCP8.5;H1;11;3;0;13;1;0;3.74;6.47;33;4;1;0;20;1;0;
12412;47.639;7.2903;RCP8.5;H1;11;2;0;13;1;0;3.45;5.82;31;4;0;0;16;2;0;
12413;47.6344;7.3966;RCP8.5;H1;9;2;0;11;1;0;3.44;5.78;31;4;0;0;16;2;0;
12414;47.6298;7.5028;RCP8.5;H1;8;2;0;11;1;0;3.59;6.13;33;4;0;0;20;2;0;
12533;47.7871;4.9526;RCP8.5;H1;11;1;0;16;2;0;4.04;7;36;6;1;0;16;0;0;
12534;47.7846;5.0593;RCP8.5;H1;10;1;0;15;2;0;3.79;6.28;31;5;1;0;12;0;0;
12535;47.7821;5.166;RCP8.5;H1;9;1;0;14;2;0;3.63;5.99;30;5;1;0;11;0;0;
12536;47.7795;5.2727;RCP8.5;H1;8;1;0;14;2;0;3.87;6.53;32;6;1;0;16;0;0;
12537;47.7767;5.3793;RCP8.5;H1;9;1;0;15;2;0;3.99;6.79;33;7;1;0;20;0;0;
12538;47.7739;5.486;RCP8.5;H1;10;1;0;15;2;0;4.12;7.1;34;8;1;0;23;0;0;
12539;47.771;5.5926;RCP8.5;H1;11;1;0;16;3;0;3.81;6.46;31;6;1;0;18;0;0;
12540;47.7679;5.6993;RCP8.5;H1;10;1;0;14;2;0;3.64;6.15;32;6;1;0;12;0;0;
12553;47.7197;7.0842;RCP8.5;H1;9;2;0;10;1;0;3.77;6.45;33;4;0;0;24;2;0;
12554;47.7153;7.1906;RCP8.5;H1;14;3;0;14;1;0;4.03;7.05;35;5;1;0;29;2;0;
12555;47.7108;7.297;RCP8.5;H1;16;3;0;15;2;0;4.54;8.17;41;7;1;0;29;2;0;
12556;47.7062;7.4034;RCP8.5;H1;14;3;0;18;2;0;4.57;8.23;41;7;1;0;31;2;0;
12557;47.7016;7.5098;RCP8.5;H1;15;3;0;18;2;0;4.45;7.94;41;6;1;0;29;2;0;
12677;47.8566;5.063;RCP8.5;H1;8;1;0;14;2;0;3.92;6.51;33;6;1;0;14;0;0;
12678;47.854;5.1699;RCP8.5;H1;9;1;0;15;2;0;3.74;6.22;31;5;1;0;12;0;0;
12679;47.8514;5.2767;RCP8.5;H1;8;1;0;14;2;0;3.8;6.38;31;6;1;0;15;0;0;
12680;47.8486;5.3835;RCP8.5;H1;9;1;0;15;2;0;3.92;6.64;32;6;1;0;19;0;0;
12681;47.8458;5.4903;RCP8.5;H1;10;1;0;15;2;0;4.08;7;34;7;1;0;22;0;0;
12682;47.8429;5.5971;RCP8.5;H1;11;1;0;15;3;0;3.93;6.72;32;6;1;0;20;0;0;
12683;47.8398;5.7038;RCP8.5;H1;11;1;0;15;2;0;3.92;6.69;32;6;1;0;19;0;0;
12694;47.8;6.8775;RCP8.5;H1;2;0;0;4;0;0;1.88;2.37;15;1;0;0;2;0;0;
12695;47.7958;6.9841;RCP8.5;H1;2;0;0;4;0;0;2.58;3.88;24;2;0;0;8;1;0;
12696;47.7915;7.0906;RCP8.5;H1;6;1;0;7;1;0;3.39;5.6;29;4;0;0;19;2;0;
12697;47.7871;7.1972;RCP8.5;H1;11;2;0;12;1;0;5.03;9.14;44;8;1;0;37;3;0;
12698;47.7826;7.3038;RCP8.5;H1;21;4;0;22;2;0;4.81;8.6;44;8;1;0;34;2;0;
12699;47.778;7.4103;RCP8.5;H1;17;3;0;21;2;0;4.4;7.78;39;6;0;0;47;2;0;
12700;47.7734;7.5168;RCP8.5;H1;18;3;0;16;2;0;4.43;7.84;39;6;0;0;48;2;0;
12810;47.9485;3.9965;RCP8.5;H1;31;3;0;22;3;0;4.72;8.13;38;9;2;0;38;0;0;
12811;47.947;4.1035;RCP8.5;H1;18;2;0;20;4;1;4.41;7.43;37;8;1;0;27;0;0;
12819;47.9309;4.9597;RCP8.5;H1;10;1;0;15;2;0;3.84;6.36;34;6;1;0;16;0;0;
12820;47.9285;5.0667;RCP8.5;H1;9;1;0;15;2;0;3.64;5.92;31;6;1;0;12;0;0;
12821;47.9259;5.1737;RCP8.5;H1;8;1;0;14;2;0;3.53;5.67;30;6;1;0;11;0;0;
12822;47.9233;5.2807;RCP8.5;H1;8;1;0;13;2;0;3.95;6.66;33;6;1;0;19;0;0;
12823;47.9205;5.3876;RCP8.5;H1;10;1;0;15;2;0;3.93;6.66;32;6;1;0;18;0;0;
12824;47.9177;5.4946;RCP8.5;H1;10;1;0;15;2;0;3.94;6.69;32;6;1;0;18;0;0;
12825;47.9147;5.6015;RCP8.5;H1;10;1;0;15;2;0;4.12;7.04;34;7;1;0;22;0;0;
12826;47.9117;5.7084;RCP8.5;H1;11;2;0;16;3;0;3.77;6.31;31;6;1;0;16;0;0;
12827;47.9086;5.8153;RCP8.5;H1;10;2;0;14;2;0;3.99;6.79;35;7;1;0;22;0;0;
12836;47.876;6.7769;RCP8.5;H1;3;0;0;5;1;0;2.16;2.98;21;2;0;0;3;0;0;
12837;47.8719;6.8836;RCP8.5;H1;3;0;0;5;1;0;2.14;2.98;17;1;0;0;5;0;0;
12838;47.8677;6.9904;RCP8.5;H1;4;0;0;4;1;0;2.61;3.97;25;2;0;0;8;1;0;
12839;47.8633;7.0971;RCP8.5;H1;6;1;0;7;1;0;2.38;3.23;21;2;0;0;7;0;0;
12840;47.8589;7.2038;RCP8.5;H1;5;1;0;6;1;0;4.29;7.65;36;5;0;0;43;4;0;
12841;47.8544;7.3105;RCP8.5;H1;21;4;0;16;2;0;4.9;8.71;42;8;1;0;59;5;0;
12842;47.8498;7.4172;RCP8.5;H1;25;4;0;20;2;0;4.56;7.96;41;7;1;0;47;2;0;
12843;47.8451;7.5238;RCP8.5;H1;19;3;0;18;2;0;4.58;8;41;7;1;0;46;2;0;
12952;48.0219;3.8915;RCP8.5;H1;34;4;0;25;4;0;5.18;9.09;41;9;2;0;50;1;0;
12953;48.0205;3.9987;RCP8.5;H1;25;3;0;23;4;1;5.05;8.8;40;9;2;0;47;1;0;
12954;48.0189;4.106;RCP8.5;H1;23;2;0;22;4;1;4.77;8.3;38;8;2;0;37;0;0;
12955;48.0172;4.2132;RCP8.5;H1;17;2;0;20;4;1;4.47;7.61;39;8;2;0;27;0;0;
12956;48.0155;4.3203;RCP8.5;H1;12;2;0;18;3;1;4.48;7.63;39;8;2;0;28;0;0;
12957;48.0136;4.4275;RCP8.5;H1;13;2;0;18;3;1;4.51;7.75;39;8;2;0;29;0;0;
12958;48.0116;4.5347;RCP8.5;H1;14;2;0;18;3;0;4.36;7.39;37;8;1;0;23;0;0;
12960;48.0074;4.749;RCP8.5;H1;15;2;0;20;4;0;4.11;6.84;36;7;1;0;17;0;0;
12961;48.0052;4.8562;RCP8.5;H1;11;1;0;16;3;0;4.08;6.77;36;7;1;0;17;0;0;
12962;48.0028;4.9633;RCP8.5;H1;11;1;0;16;3;0;4.05;6.72;35;8;1;0;18;0;0;
12963;48.0004;5.0705;RCP8.5;H1;11;1;0;16;3;0;3.77;6.09;32;7;1;0;14;0;0;
12964;47.9978;5.1776;RCP8.5;H1;9;1;0;15;2;0;3.69;5.92;31;6;1;0;13;0;0;
12965;47.9952;5.2847;RCP8.5;H1;9;1;0;14;2;0;3.98;6.66;33;6;1;0;18;0;0;
12966;47.9924;5.3918;RCP8.5;H1;10;1;0;16;3;0;3.88;6.5;32;6;1;0;17;0;0;
12967;47.9896;5.4989;RCP8.5;H1;10;1;0;15;2;0;3.97;6.71;33;6;1;0;18;0;0;
12968;47.9866;5.606;RCP8.5;H1;10;2;0;15;3;0;3.93;6.61;32;7;1;0;18;0;0;
12969;47.9836;5.713;RCP8.5;H1;10;1;0;15;2;0;3.71;6.13;32;6;1;0;16;0;0;
12970;47.9804;5.8201;RCP8.5;H1;10;1;0;14;2;0;4.2;7.02;38;9;1;0;21;0;0;
12971;47.9772;5.9271;RCP8.5;H1;11;1;0;17;3;0;4.08;6.98;40;7;1;0;12;0;0;
12974;47.9669;6.2482;RCP8.5;H1;9;1;0;15;2;0;3.83;6.5;37;6;1;0;10;0;0;
12975;47.9633;6.3551;RCP8.5;H1;8;1;0;14;2;0;3.43;5.57;32;5;1;0;8;0;0;
12976;47.9596;6.4621;RCP8.5;H1;7;1;0;12;2;0;2.44;3.57;26;3;0;0;3;0;0;
12977;47.9557;6.5691;RCP8.5;H1;3;0;0;6;1;0;2.19;2.98;23;2;0;0;3;0;0;
12978;47.9518;6.676;RCP8.5;H1;3;0;0;5;1;0;2.17;2.95;22;2;0;0;3;0;0;
12979;47.9478;6.7829;RCP8.5;H1;3;0;0;5;1;0;2.04;2.69;18;2;0;0;3;0;0;
12980;47.9437;6.8898;RCP8.5;H1;3;1;0;4;1;0;1.86;2.34;14;1;0;0;5;0;0;
12981;47.9395;6.9967;RCP8.5;H1;4;0;0;3;0;0;1.89;2.39;15;1;0;0;5;0;0;
12982;47.9352;7.1036;RCP8.5;H1;4;0;0;3;0;0;1.98;2.46;15;2;0;0;6;0;0;
12983;47.9308;7.2104;RCP8.5;H1;4;0;0;4;0;0;4.08;7.17;34;4;0;0;40;4;0;
12984;47.9262;7.3173;RCP8.5;H1;20;3;0;14;2;0;4.95;8.81;43;8;1;0;61;5;0;
12985;47.9216;7.4241;RCP8.5;H1;26;4;0;21;2;0;4.63;8.11;41;7;1;0;49;2;0;
12986;47.9169;7.5309;RCP8.5;H1;20;3;0;18;2;0;4.63;8.11;41;7;1;0;49;2;0;
13095;48.0939;3.8937;RCP8.5;H1;19;2;0;21;4;1;4.97;8.64;39;9;2;0;45;0;0;
13096;48.0924;4.001;RCP8.5;H1;22;2;0;22;4;1;5.06;8.84;40;9;2;0;47;1;0;
13097;48.0908;4.1084;RCP8.5;H1;23;2;0;22;4;1;4.98;8.65;40;9;2;0;46;0;0;
13098;48.0891;4.2157;RCP8.5;H1;21;3;0;21;4;1;4.81;8.39;39;9;2;0;38;0;0;
